mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 2, 4, 69.8776, 0.113965, 0.1685, 4432
0.0001, 2, 4, 34.24, 0.133353, 0.1102, 4470
0.0001, 2, 4, 16.7776, 0.131176, 0.0953, 4415
0.0001, 2, 4, 8.22103, 0.105298, 0.0818, 4392
0.0001, 2, 4, 4.0283, 0.100238, 0.0823, 4335
0.0001, 2, 4, 1.97387, 0.108048, 0.0616, 4400
0.0001, 2, 4, 0.967195, 0.0892355, 0.0466, 4243
0.0001, 2, 4, 0.473926, 0.0979954, 0.0407, 4276
0.0001, 2, 4, 0.232224, 0.0780479, 0.0318, 4269
0.0001, 2, 4, 0.11379, 0.0971103, 0.0311, 4359
0.0001, 2, 4, 0.0557569, 0.0805005, 0.0365, 4329
0.0001, 2, 2, 69.8776, 0.132821, 0.0999, 2251
0.0001, 2, 2, 34.24, 0.118905, 0.0703, 2215
0.0001, 2, 2, 16.7776, 0.103456, 0.0575, 2610
0.0001, 2, 2, 8.22103, 0.143286, 0.0458, 2170
0.0001, 2, 2, 4.0283, 0.186673, 0.0353, 2146
0.0001, 2, 2, 1.97387, 0.149574, 0.0289, 2171
0.0001, 2, 2, 0.967195, 0.107595, 0.0297, 2155
0.0001, 2, 2, 0.473926, 0.124195, 0.0193, 2589
0.0001, 2, 2, 0.232224, 0.124102, 0.0204, 2495
0.0001, 2, 2, 0.11379, 0.172797, 0.0144, 2177
0.0001, 2, 2, 0.0557569, 0.132684, 0.016, 2172
0.0001, 2, 1, 69.8776, 0.115607, 0.0534, 1144
0.0001, 2, 1, 34.24, 0.114298, 0.039, 1110
0.0001, 2, 1, 16.7776, 0.156176, 0.0305, 2240
0.0001, 2, 1, 8.22103, 0.141096, 0.0282, 1081
0.0001, 2, 1, 4.0283, 0.116127, 0.0244, 1328
0.0001, 2, 1, 1.97387, 0.114812, 0.0205, 1123
0.0001, 2, 1, 0.967195, 0.14539, 0.0146, 1069
0.0001, 2, 1, 0.473926, 0.151357, 0.0122, 1289
