mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, -1, 65, 7.71366, 0.308014, 0.5046, 28372
0.0001, -1, 65, 15.7422, 0.2855, 0.6949, 33646
0.0001, -1, 65, 32.1269, 0.254544, 1.0765, 45189
0.0001, -2, 1, 0.0523158, 0.606879, 0.015, 378
0.0001, -2, 1, 0.106767, 0.671276, 0.0121, 387
0.0001, -2, 1, 0.217892, 0.601147, 0.0101, 389
0.0001, -2, 1, 0.444677, 0.58107, 0.0117, 388
0.0001, -2, 1, 0.907505, 0.600668, 0.0109, 409
0.0001, -2, 1, 1.85205, 0.591565, 0.0131, 413
0.0001, -2, 1, 3.77969, 0.616828, 0.0183, 444
0.0001, -2, 1, 7.71366, 0.558648, 0.0217, 566
0.0001, -2, 1, 15.7422, 0.511753, 0.0274, 928
0.0001, -2, 1, 32.1269, 0.430516, 0.0489, 1744
0.0001, -2, 1, 65.565, 0.362363, 0.0744, 3533
0.0001, -2, 2, 0.0523158, 0.577883, 0.0187, 837
0.0001, -2, 2, 0.106767, 0.60206, 0.0224, 798
0.0001, -2, 2, 0.217892, 0.600376, 0.0224, 793
0.0001, -2, 2, 0.444677, 0.643677, 0.0215, 948
0.0001, -2, 2, 0.907505, 0.612651, 0.0209, 812
0.0001, -2, 2, 1.85205, 0.575873, 0.0241, 817
0.0001, -2, 2, 3.77969, 0.613978, 0.028, 916
0.0001, -2, 2, 7.71366, 0.55978, 0.0412, 1062
0.0001, -2, 2, 15.7422, 0.51935, 0.0561, 1702
0.0001, -2, 2, 32.1269, 0.442652, 0.0882, 2776
0.0001, -2, 2, 65.565, 0.407691, 0.1436, 5422
0.0001, -2, 4, 0.0523158, 0.562026, 0.0383, 1550
0.0001, -2, 4, 0.106767, 0.564781, 0.0352, 1586
0.0001, -2, 4, 0.217892, 0.559628, 0.0378, 1796
0.0001, -2, 4, 0.444677, 0.564317, 0.0421, 1796
0.0001, -2, 4, 0.907505, 0.562146, 0.0419, 1636
0.0001, -2, 4, 1.85205, 0.560718, 0.0464, 1644
0.0001, -2, 4, 3.77969, 0.5401, 0.0515, 1800
0.0001, -2, 4, 7.71366, 0.512583, 0.0747, 2294
0.0001, -2, 4, 15.7422, 0.470212, 0.0886, 2949
0.0001, -2, 4, 32.1269, 0.394421, 0.1565, 4807
0.0001, -2, 4, 65.565, 0.308654, 0.2523, 9536
0.0001, -2, 6, 0.0523158, 0.548774, 0.049, 2541
0.0001, -2, 6, 0.106767, 0.549612, 0.0526, 2336
0.0001, -2, 6, 0.217892, 0.548824, 0.0511, 2431
0.0001, -2, 6, 0.444677, 0.55757, 0.0547, 2445
0.0001, -2, 6, 0.907505, 0.555392, 0.0609, 2479
0.0001, -2, 6, 1.85205, 0.543934, 0.0609, 3281
0.0001, -2, 6, 3.77969, 0.515677, 0.0815, 3298
0.0001, -2, 6, 7.71366, 0.508374, 0.1021, 3879
0.0001, -2, 6, 15.7422, 0.461743, 0.1499, 4885
0.0001, -2, 6, 32.1269, 0.398541, 0.215, 7602
0.0001, -2, 6, 65.565, 0.298995, 0.3809, 14004
0.0001, -2, 9, 0.0523158, 0.557168, 0.0697, 4038
0.0001, -2, 9, 0.106767, 0.562316, 0.0687, 4083
0.0001, -2, 9, 0.217892, 0.57002, 0.0719, 3986
0.0001, -2, 9, 0.444677, 0.554517, 0.0679, 4225
0.0001, -2, 9, 0.907505, 0.555822, 0.0766, 4226
0.0001, -2, 9, 1.85205, 0.547793, 0.0999, 4462
0.0001, -2, 9, 3.77969, 0.545072, 0.113, 4784
0.0001, -2, 9, 7.71366, 0.502792, 0.1378, 5607
0.0001, -2, 9, 15.7422, 0.461424, 0.2079, 7402
0.0001, -2, 9, 32.1269, 0.393843, 0.3374, 10803
0.0001, -2, 9, 65.565, 0.301704, 0.5928, 20447
0.0001, -2, 14, 0.0523158, 0.550268, 0.0959, 6449
0.0001, -2, 14, 0.106767, 0.55193, 0.1134, 6389
0.0001, -2, 14, 0.217892, 0.55575, 0.1004, 6486
0.0001, -2, 14, 0.444677, 0.551372, 0.1107, 6551
0.0001, -2, 14, 0.907505, 0.548851, 0.1156, 6591
0.0001, -2, 14, 1.85205, 0.538202, 0.135, 6957
0.0001, -2, 14, 3.77969, 0.526151, 0.1627, 9118
