mu, offset, k1, k2_constant, rel_err, query_time, build_time
0.0001, 4, 35, 0.0858609, 0.181504, 0.0171, 100
0.0001, 4, 24, 52.7267, 0.177942, 0.0252, 120
0.0001, 4, 24, 25.8361, 0.175401, 0.0225, 95
0.0001, 4, 24, 12.6597, 0.176236, 0.0176, 82
0.0001, 4, 24, 6.20324, 0.195369, 0.0146, 72
0.0001, 4, 24, 3.03959, 0.190371, 0.0128, 84
0.0001, 4, 24, 1.4894, 0.19933, 0.0123, 76
0.0001, 4, 24, 0.729805, 0.210967, 0.0118, 70
0.0001, 4, 16, 52.7267, 0.204093, 0.0178, 94
0.0001, 5, 50, 52.7267, 0.191583, 0.0194, 134
0.0001, 5, 50, 25.8361, 0.191949, 0.0214, 138
0.0001, 5, 50, 12.6597, 0.186434, 0.0204, 156
0.0001, 5, 50, 6.20324, 0.182008, 0.0235, 151
0.0001, 5, 50, 3.03959, 0.205934, 0.0187, 141
0.0001, 5, 35, 52.7267, 0.225827, 0.0151, 98
0.0001, 6, 50, 52.7267, 0.25388, 0.0173, 139
0.0001, 7, 50, 52.7267, 0.344272, 0.0185, 140
0.0001, 8, 50, 52.7267, 0.50742, 0.015, 155
0.0001, 9, 50, 52.7267, 0.617897, 0.0159, 141
0.0001, 10, 50, 52.7267, 0.80746, 0.0161, 155
0.0001, 11, 50, 52.7267, 0.954317, 0.0152, 142
0.0001, 12, 50, 52.7267, 0.9953, 0.0125, 126
0.0001, 13, 50, 52.7267, 0.9953, 0.0151, 138
0.0001, 14, 50, 52.7267, 0.9953, 0.0159, 137
0.0001, -1, 1, 0.0858609, 0.552133, 0.0054, 9
0.0001, -1, 1, 0.175226, 0.514077, 0.0061, 9
0.0001, -1, 1, 0.357605, 0.46128, 0.0057, 10
0.0001, -1, 1, 0.729805, 0.307947, 0.0079, 11
0.0001, -1, 1, 1.4894, 0.243813, 0.0102, 17
0.0001, -1, 1, 3.03959, 0.129708, 0.0157, 35
0.0001, -1, 1, 6.20324, 0.114966, 0.0215, 56
0.0001, -1, 1, 12.6597, 0.121741, 0.0302, 129
0.0001, -1, 1, 25.8361, 0.126213, 0.0471, 268
0.0001, -1, 1, 52.7267, 0.113848, 0.0542, 615
0.0001, -1, 2, 0.0858609, 0.461419, 0.0098, 11
0.0001, -1, 2, 0.175226, 0.442879, 0.0091, 46
0.0001, -1, 2, 0.357605, 0.394034, 0.0097, 14
0.0001, -1, 2, 0.729805, 0.251277, 0.0141, 17
0.0001, -1, 2, 1.4894, 0.144135, 0.0189, 26
0.0001, -1, 2, 3.03959, 0.107954, 0.0257, 48
0.0001, -1, 2, 6.20324, 0.144776, 0.0392, 74
0.0001, -1, 2, 12.6597, 0.133968, 0.0548, 155
0.0001, -1, 2, 25.8361, 0.125432, 0.0734, 314
0.0001, -1, 2, 52.7267, 0.142394, 0.0943, 809
0.0001, -1, 4, 0.0858609, 0.48686, 0.0192, 17
0.0001, -1, 4, 0.175226, 0.473356, 0.0165, 19
0.0001, -1, 4, 0.357605, 0.416226, 0.0205, 21
0.0001, -1, 4, 0.729805, 0.307322, 0.026, 27
0.0001, -1, 4, 1.4894, 0.158262, 0.0337, 39
0.0001, -1, 4, 3.03959, 0.0871265, 0.0484, 75
0.0001, -1, 4, 6.20324, 0.0812586, 0.0776, 111
0.0001, -1, 4, 12.6597, 0.0835037, 0.108, 285
0.0001, -1, 4, 25.8361, 0.0851549, 0.1519, 576
0.0001, -1, 4, 52.7267, 0.0813278, 0.2034, 1235
0.0001, -1, 7, 0.0858609, 0.526873, 0.0253, 24
0.0001, -1, 7, 0.175226, 0.538077, 0.0268, 29
0.0001, -1, 7, 0.357605, 0.456383, 0.0329, 34
